theme,citation,year,url,design_implication
naive diversification benchmark,"DeMiguel, Garlappi, Uppal, Optimal Versus Naive Diversification",2009,https://doi.org/10.1093/rfs/hhm075,Equal weight remains a mandatory benchmark; improvements must be OOS and net of turnover.
multiple testing / deflated Sharpe,"Bailey and Lopez de Prado, The Deflated Sharpe Ratio",2014,https://ssrn.com/abstract=2460551,Track all trials; adjust raw Sharpe claims for selection bias and non-normality.
probability of backtest overfitting,"Bailey, Borwein, Lopez de Prado, Zhu, Probability of Backtest Overfitting",2017,https://www.risk.net/journal-of-computational-finance/2471206/the-probability-of-backtest-overfitting,Use trial matrix/CSCV or at least report overfitting risk for winner selection.
data snooping,"White, A Reality Check for Data Snooping",2000,https://doi.org/10.1111/1468-0262.00152,Treat best-of-many strategies as exploratory unless corrected.
transaction costs,"Novy-Marx and Velikov, A Taxonomy of Anomalies and Their Trading Costs",2016,https://econpapers.repec.org/paper/nbrnberwo/20721.htm,"Report gross/net, turnover, and cost sensitivity for high-turnover screens."
trading costs,"Frazzini, Israel, Moskowitz, Trading Costs of Asset Pricing Anomalies",2014,https://ssrn.com/abstract=2294498,"Capacity/cost modeling should be implementation-aware, not ignored."
survivorship bias,"Elton, Gruber, Blake, Survivorship Bias and Mutual Fund Performance",1996,https://ssrn.com/abstract=1299448,Current-constituent universes must be flagged unless point-in-time membership is used.
large-scale ML asset pricing,"Gu, Kelly, Xiu, Empirical Asset Pricing via Machine Learning",2020,https://doi.org/10.1093/rfs/hhaa009,Use large cross-sectional panels and OOS evaluation; momentum/liquidity/volatility are core predictors.
contextual bandit routing,"Zhu et al., Online Portfolio Selection with Cardinality Constraint and Transaction Costs based on Contextual Bandit",2020,https://www.ijcai.org/Proceedings/2020/646,Model controller or asset-subset choice as arms with transaction-cost-aware rewards.
LinUCB baseline,"Li et al., A Contextual-Bandit Approach to Personalized News Article Recommendation",2010,https://arxiv.org/abs/1003.0146,Start transparent contextual routing with LinUCB/LinTS before high-capacity gates.
mixture of strategies,"Shen et al., Meta-Learning the Optimal Mixture of Strategies for Online Portfolio Selection",2025,https://arxiv.org/abs/2505.03659,Route over policy families via soft mixture weights rather than always predicting one winner.
multi-gate momentum experts,"Lim, Zohren, Roberts, DeepUnifiedMom",2024,https://arxiv.org/abs/2406.08742,Treat momentum horizons/assets as separate experts; evaluate multi-gate mixture behavior.
asset-specific regimes,"Shu, Yu, Mulvey, Dynamic Asset Allocation with Asset-Specific Regime Forecasts",2024,https://arxiv.org/abs/2406.09578,Add asset/factor-specific regime probabilities rather than only global descriptors.
cardinality-constrained selection,"Du, Guo, Wang, High Dimensional Portfolio Selection with Cardinality Constraints",2022,https://arxiv.org/abs/2209.13794,Make holdings budget K an explicit control variable.
post-screening selection,"Uematsu and Tanaka, Post-Screening Portfolio Selection",2026,https://arxiv.org/abs/2604.17593,Separate screening from low-dimensional weighting; defactor before screening when needed.
two-stage deep screen then optimize,"Huang et al., Enhancing Portfolio Optimization",2024,https://doi.org/10.3390/math12213376,Compare screen-then-weight pipelines against optimization without preselection.
