update,trajectory_reward
0,0.05859930557471759
1,0.03188351052450389
2,0.0256031932592562
3,0.012725546788237799
4,0.054380268584183405
5,0.042029630992120134
6,0.05370076287030917
7,0.02389122989374523
8,0.02519148638988615
9,0.030272168581425257
10,0.025226060043584554
11,0.03034606550498363
12,0.02877119997830329
13,0.03901148458302023
14,0.03871986192621108
15,0.029441289211365098
16,0.038373688495675
17,0.04433684481331544
18,0.048628218056066486
19,0.06587452722804042
20,0.04108751212217643
21,0.04898153327308903
22,0.018650983367866265
23,0.020662046786592093
24,0.025858703999373144
25,0.02650612846872949
26,0.05641714813488795
27,0.03867179033733205
28,0.0528021781729593
29,0.022754279559210767
