universe,screen_rule,mean_sharpe_across_controllers,best_sharpe,mean_ann_return,mean_ann_vol,worst_drawdown,mean_turnover,controller_count
liquid_us_equity_100,low_volatility_63_top10,1.1390772759012229,1.44016914424767,0.13246449054483964,0.16631124356511667,-0.2926937438773652,18.768181818163306,4
liquid_us_equity_100,momentum_21_top10,1.1300118944946334,1.4743813943593862,0.18998041464292667,0.21413350551657562,-0.4491631729839874,19.377272727253605,4
liquid_us_equity_100,momentum_63_top10,1.0602666182181544,1.358888749642388,0.166886351440721,0.22999901137162063,-0.4178174753099887,19.89999999998036,4
liquid_us_equity_100,cluster_capped_momentum_63_top10,1.0577412338028476,1.3639925489463582,0.16633724975495212,0.22967140486964246,-0.4178174753099887,19.86363636361676,4
liquid_us_equity_100,vol_adjusted_momentum_63_top10,0.9648881806648897,1.261348304173717,0.14551530443557947,0.2236611118681139,-0.419629476319758,19.60909090907156,4
liquid_us_equity_250,low_volatility_63_top10,0.6989461949445381,0.8592181159536008,0.09091899695931832,0.14737302721192092,-0.1648103417032194,12.3318181818061,4
liquid_us_equity_250,vol_adjusted_momentum_63_top10,0.3382545625664213,0.5992259192605487,0.033191849772473525,0.19567339170247244,-0.1965240940312587,12.140909090897198,4
liquid_us_equity_250,momentum_63_top10,0.248525896856877,0.5560593031416079,0.02026260993246675,0.20686304202940684,-0.1965240940312587,12.195454545442601,4
liquid_us_equity_250,cluster_capped_momentum_63_top10,0.2139318041281642,0.4975693372309039,0.0143231129235679,0.2040508814630002,-0.1965240940312587,12.1409090908972,4
liquid_us_equity_250,momentum_21_top10,0.2061562877056766,0.5242734879864396,0.022180918823165103,0.20540514712675828,-0.1821230148877113,12.3318181818061,4
liquid_us_equity_500,momentum_63_top10,1.3362624237289502,1.6662647498237702,0.2857104437800838,0.21666026317644613,-0.157744495265887,11.1277777777669,4
liquid_us_equity_500,cluster_capped_momentum_63_top10,1.3320802178057283,1.641359278271237,0.28547145783831995,0.21667535105117397,-0.157744495265887,11.0166666666559,4
liquid_us_equity_500,vol_adjusted_momentum_63_top10,1.3091360765595041,1.7564080110227396,0.267886109380643,0.20860953671574425,-0.1546492039959892,10.727777777767301,4
liquid_us_equity_500,momentum_21_top10,1.2508894594638829,1.482785510712627,0.24981782883736287,0.206683165479412,-0.1570261952158717,10.6722222222118,4
liquid_us_equity_500,low_volatility_63_top10,1.0084534248067512,1.3867600421534738,0.11860052897588405,0.13596571677810618,-0.2095866381326877,11.4166666666555,4
